3/5/2025  10:48 AM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
225	0.70	18.940	11.499
226	0.70	19.040	11.549
227	0.70	19.120	11.599
228	0.70	19.200	11.649
229	0.70	19.260	11.699
230	0.70	19.340	11.749
231	0.70	19.440	11.799
232	0.68	19.520	11.849
233	0.68	19.600	11.899
234	0.68	19.680	11.950
235	0.68	19.780	11.999
236	0.66	19.860	12.049
237	0.66	19.980	12.099
238	0.66	20.000	12.149
239	0.66	20.100	12.199
240	0.66	20.200	12.249
241	0.64	20.280	12.300
242	0.64	20.360	12.349
243	0.64	20.440	12.399
244	0.64	20.540	12.449
245	0.64	20.620	12.499
246	0.62	20.700	12.549
247	0.62	20.820	12.599
248	0.62	20.860	12.649
249	0.60	20.940	12.700
250	0.60	21.020	12.749
251	0.60	21.100	12.799
252	0.60	21.200	12.849
253	0.60	21.280	12.899
254	0.60	21.360	12.949
255	0.58	21.420	12.999
256	0.58	21.520	13.049
257	0.56	21.600	13.099
258	0.56	21.680	13.149
259	0.56	21.780	13.199
260	0.56	21.860	13.250
261	0.56	21.940	13.299
262	0.54	22.080	13.349
263	0.54	22.120	13.399
264	0.52	22.180	13.449
265	0.52	22.260	13.499
266	0.50	22.360	13.550
267	0.50	22.440	13.599
268	0.50	22.580	13.649
269	0.50	22.620	13.699
270	0.50	22.700	13.749
271	0.50	22.800	13.799
272	0.50	22.880	13.849
273	0.50	22.960	13.899
274	0.48	23.020	13.950
275	0.48	23.100	13.999
276	0.46	23.200	14.049
277	0.44	23.280	14.099
278	0.44	23.360	14.149
279	0.44	23.440	14.199
280	0.44	23.540	14.249
281	0.44	23.620	14.299
282	0.44	23.680	14.349
283	0.44	23.780	14.400
284	0.40	23.860	14.449
285	0.40	23.940	14.499
286	0.38	24.020	14.549
287	0.38	24.120	14.600
288	0.38	24.200	14.649
289	0.38	24.280	14.699
290	0.38	24.340	14.749
291	0.38	24.460	14.799
292	0.36	24.520	14.849
293	0.38	24.620	14.899
294	0.36	24.700	14.949
295	0.36	24.780	14.999
296	0.36	24.860	15.050
297	0.36	24.960	15.099
298	0.36	25.040	15.149
299	0.34	25.120	15.199
300	0.34	25.180	15.249
301	0.32	25.280	15.299
302	0.30	25.360	15.349
303	0.30	25.440	15.400
304	0.30	25.520	15.449
305	0.28	25.620	15.500
306	0.28	25.740	15.549
307	0.28	25.780	15.599
308	0.28	25.840	15.649
309	0.28	25.940	15.699
310	0.28	26.020	15.749
311	0.28	26.100	15.799
312	0.26	26.200	15.849
313	0.26	26.280	15.899
314	0.26	26.360	15.949
315	0.26	26.460	15.999
316	0.26	26.540	16.049
317	0.24	26.600	16.099
318	0.24	26.680	16.149
319	0.24	26.780	16.200
320	0.20	26.860	16.249
321	0.20	26.940	16.299
322	0.20	27.020	16.349
323	0.20	27.120	16.399
324	0.18	27.200	16.449
325	0.16	27.400	16.549
326	0.16	27.440	16.599
327	0.16	27.520	16.649
328	0.16	27.600	16.699
329	0.14	27.680	16.749
330	0.14	27.820	16.799
331	0.14	27.860	16.849
332	0.12	27.920	16.899
333	0.14	28.040	16.949
334	0.14	28.100	16.999
335	0.12	28.200	17.049
336	0.12	28.280	17.099
337	0.12	28.360	17.150
338	0.12	28.440	17.199
339	0.12	28.540	17.250
340	0.12	28.620	17.299
341	0.10	28.700	17.349
342	0.10	28.800	17.399
343	0.10	28.860	17.449
344	0.10	28.940	17.499
345	0.08	29.020	17.549
346	0.08	29.100	17.599
347	0.06	29.200	17.649
348	0.06	29.280	17.699
349	0.06	29.360	17.749
350	0.06	29.420	17.800
351	0.04	29.500	17.849
352	0.04	29.600	17.899
353	0.04	29.680	17.949
354	0.04	29.840	17.999
355	0.04	29.860	18.049
356	0.04	29.940	18.099
357	0.02	30.040	18.149
358	0.02	30.120	18.199
359	0.02	30.200	18.249
360	0.02	30.260	18.299
361	0.02	30.360	18.349
362	0.02	30.440	18.399
363	0.00	30.520	18.449
364	0.00	30.620	18.499
365	0.00	30.700	18.549
366	0.00	30.780	18.599
367	0.00	30.880	18.649
368	0.00	30.960	18.699
369	0.00	31.020	18.749
370	0.00	31.100	18.799
371	0.00	31.180	18.849
372	0.00	31.280	18.899
373	0.00	31.360	18.949
374	0.00	31.480	18.999
375	0.00	31.520	19.049
376	0.00	31.620	19.099
377	0.00	31.680	19.149
378	0.00	31.760	19.199
379	0.00	31.860	19.249
380	0.00	31.940	19.299
381	0.00	32.020	19.349
382	0.00	32.100	19.399
383	0.00	32.200	19.449
384	0.00	32.280	19.499
385	0.00	32.340	19.549
386	0.00	32.460	19.599
387	0.00	32.520	19.649
388	0.00	32.620	19.699
389	0.00	32.700	19.749
