Angle,Force,Torque,Force_smooth,Torque_smooth
43.26934426927106,-0.047817899463960443,-2.668932,-0.04545551947938486,-2.323601453451595
43.3466824359726,-0.047755043571043404,-2.668932,-0.0462220275099377,-2.386388825551305
43.40840664546002,-0.04770481534230791,-2.668932,-0.046716290120727776,-2.4377603118147038
43.47000107837433,-0.04765463752995725,-2.668932,-0.047029072590470934,-2.479791527848394
43.5161118977616,-0.04761703736991177,-2.668932,-0.04722506085028455,-2.5141807046032314
43.577479864037514,-0.06342259765104215,-3.558576,-0.05262423978387041,-2.704070758311735
43.62342114011156,-0.06337255306886547,-3.558576,-0.05620701087886876,-2.8594353477096015
43.71508638409511,-0.04745443417768602,-2.668932,-0.05328948531180785,-2.824798375398765
43.776035939529514,-0.06320601496841227,-3.558576,-0.05659499519734266,-2.958212488962626
43.852042670410285,-0.047342179995414596,-2.668932,-0.05351072346336664,-2.9056160364239667
43.912704210099335,-0.047292373189374556,-2.668932,-0.05143794003870261,-2.862582575255973
43.97323817710397,-0.04724261828350961,-2.668932,-0.05003949945363828,-2.827373379754887
44.04872664398209,-0.047180497893144366,-2.668932,-0.049086498933473645,-2.7985658561630893
44.09392446225317,-0.04714326484629145,-2.668932,-0.04843875423774625,-2.7749960641334366
44.15407731500955,-0.04709366664625059,-2.668932,-0.04799039170724769,-2.755711688836448
44.21410366429089,-0.06272549467872088,-3.558576,-0.052902092697738747,-2.901687018138912
44.28895911257741,-0.06264301749682262,-3.558576,-0.05614906763076671,-3.021121378477292
44.348701806286,-0.06257711511142247,-3.558576,-0.05829175012431862,-3.11884040057233
44.36361783882713,-0.04692048792324729,-2.668932,-0.05450132939062818,-3.037038873195543
44.46781055630668,-0.04683414213305594,-2.668932,-0.051945600304770766,-2.9701103507963533
44.541999278998794,-0.046772566606118685,-2.668932,-0.050221255738553405,-2.9153506506515616
44.58641890426293,-0.0467356614444958,-2.668932,-0.049059390973867543,-2.8705472596240047
44.64553609521127,-0.04668650153731552,-2.668932,-0.048268427828350204,-2.833889939692367
44.71925781923636,-0.0466251273514298,-2.668932,-0.04772066100271007,-2.803897587021028
44.77809571203743,-0.046576088734198044,-2.668932,-0.04733913691320606,-2.779358389380841
44.85146915779284,-0.04651486660604115,-2.668932,-0.0470643801441511,-2.7592808640388697
44.910029103294534,-0.04646594998552237,-2.668932,-0.04686490342460819,-2.742853797849984
44.968465950019876,-0.046417087806465855,-2.668932,-0.04671563155189407,-2.7294134709681686
45.0267799645174,-0.06182437360238874,-3.558576,-0.051751878902058956,-2.8801702944285017
45.084971413234165,-0.046319527302394484,-2.668932,-0.049941095035504125,-2.841763331805138
45.157538771742026,-0.04625866330360169,-2.668932,-0.04871361779153665,-2.810339453295113
45.20098767857063,-0.04622218613297478,-2.668932,-0.04788314057201603,-2.784629007241456
45.25881302752366,-0.046173598114748596,-2.668932,-0.04731329308626022,-2.7635931877430093
45.316516875351056,-0.04612506530542141,-2.668932,-0.046917217159313955,-2.746382062698826
45.38847622917256,-0.046064477115409876,-2.668932,-0.0466329704780126,-2.732300233117221
45.44590767127847,-0.046016068965517236,-2.668932,-0.04642733664051415,-2.720778736186817
45.50321847576912,-0.045967716410670496,-2.668932,-0.04627412989723293,-2.711352056880123
45.56040890803267,-0.04591941956561075,-2.668932,-0.04615589312002554,-2.7036393192655552
45.63172807897001,-0.045859127022913365,-2.668932,-0.04605697108765481,-2.697328897580909
45.6744297166548,-0.04582299345437006,-2.668932,-0.04597897854322656,-2.6921658252934706
45.731260622997304,-0.04577486440826684,-2.668932,-0.04591094049823999,-2.6879414934219303
45.802131504053634,-0.045714782073927616,-2.668932,-0.045845554356802536,-2.6844852218906703
45.85869432981145,-0.04566677951329092,-2.668932,-0.04578596274229866,-2.681657363365094
45.915138438314465,-0.045618833337258795,-2.668932,-0.0457302529406187,-2.679343660935077
45.98552703020314,-0.04555898006228139,-2.668932,-0.04567316198117293,-2.6774506316741538
46.0417049903927,-0.04551116111940126,-2.668932,-0.0456191616939157,-2.67590178955158
46.09776509111001,-0.0454633988839464,-2.668932,-0.045567240757259264,-2.6746345550876565
46.167674878545235,-0.045403775979865495,-2.668932,-0.04551275249812801,-2.6735977268899007
46.22347075859215,-0.04535614168286596,-2.668932,-0.04546054889304066,-2.6727494129099187
46.265240870487006,-0.060427271158744855,-3.558576,-0.050449456314942055,-2.8338087923808426
46.32083216631753,-0.0603638918687254,-3.558576,-0.05375426816620318,-2.9655846483115984
46.39015742680204,-0.04521358121974534,-2.668932,-0.0509073725173839,-2.911647803164035
46.445486867543266,-0.06022156733614174,-3.558576,-0.054012104123636516,-3.029271111679665
46.500700354373954,-0.0451188271456665,-2.668932,-0.05104767846431318,-2.96375490955609
46.5557981491949,-0.04507153623361915,-2.668932,-0.04905563105408184,-2.910150744182255
46.62450809943216,-0.06001667133173722,-3.558576,-0.05270931114663363,-3.028046245240027
46.6793465435531,-0.05995378950970087,-3.558576,-0.05512413726765605,-3.124506200650931
46.7203999969734,-0.05990667862807339,-3.558576,-0.05671831772112849,-3.2034279823507616
46.77503763788835,-0.05984393151420554,-3.558576,-0.05776018898548751,-3.2680003491960776
46.84317386396024,-0.05976560607557603,-3.558576,-0.05842866134885035,-3.3208322857058814
46.897554502075145,-0.05970303260670578,-3.558576,-0.058853451768135494,-3.3640584155775395
46.951821339503375,-0.0596405364697329,-3.558576,-0.05911581333533463,-3.3994252491088957
47.00597463603567,-0.05957811775791353,-3.558576,-0.0592699148095276,-3.428361749270915
47.07350698514635,-0.05950020338599165,-3.558576,-0.059346677668348946,-3.452037067585294
47.127405763094316,-0.059437959211070875,-3.558576,-0.059377104849256256,-3.471407782569786
47.16775587402283,-0.04454349530630675,-2.668932,-0.05443256833493976,-3.3255030948298248
47.234865482111196,-0.059313704088025374,-3.558576,-0.0560596135859683,-3.3678799866789473
47.28842694008423,-0.05925169330710046,-3.558576,-0.05712364015967902,-3.402551989100957
47.34187647448157,-0.05918976048806569,-3.558576,-0.05781234693580791,-3.4309199910826016
47.4085313925331,-0.059112454217830575,-3.558576,-0.058245716029815466,-3.4541301745221284
47.461730040693794,-0.05905069709769076,-3.558576,-0.05851404305244057,-3.473120324609014
47.51481760174281,-0.05898901818799784,-3.558576,-0.058672368097626326,-3.488657720134648
47.56779433240183,-0.058927417561144606,-3.558576,-0.058757384585465755,-3.501370134655621
